EmployeeID,NIK,orighiredate_key,department_name,job_title,BUSINESS_UNIT
1329,1603066301670011,9/8/1989,Store Management,Store Manager,STORES
1334,3503110602610004,9/15/1989,Executive,"Exec Assistant, Finance",HEADOFFICE
1335,1220044702620010,9/16/1989,Recruitment,"Director, Recruitment",HEADOFFICE
1347,3522070403490007,9/29/1989,Meats,Meats Manager,STORES
1353,1221061303490009,10/4/1989,Store Management,Store Manager,STORES
1357,6401061403490015,10/5/1989,Legal,Corporate Lawyer,HEADOFFICE
1362,3206195803490005,10/7/1989,Meats,Meats Manager,STORES
1373,1704014404490014,10/16/1989,Accounting,"Director, Accounting",HEADOFFICE
1381,3601205704490005,10/23/1989,Recruitment,Recruiter,HEADOFFICE
1388,9104220605490004,11/2/1989,Produce,Produce Manager,STORES
1401,1807105805490016,11/8/1989,Store Management,Store Manager,STORES
1414,7210111806490001,11/24/1989,Information Technology,Systems Analyst,HEADOFFICE
1421,3204301207490017,12/7/1989,Store Management,Store Manager,STORES
1442,3207086908490018,1/1/1990,Produce,Produce Manager,STORES
1444,3314194309490008,1/4/1990,Bakery,Bakery Manager,STORES
1458,9209021110490011,1/24/1990,Labor Relations,Labor Relations Analyst,HEADOFFICE
1476,1604220711490009,2/7/1990,Store Management,Store Manager,STORES
1482,1605101611490003,2/12/1990,Produce,Produce Manager,STORES
1484,8272012211490009,2/15/1990,HR Technology,HRIS Analyst,HEADOFFICE
1495,3309194412490010,2/22/1990,Processed Foods,Processed Foods Manager,STORES
1499,7403185512490018,2/27/1990,Meats,Meat Cutter,STORES
1512,6402023012490015,3/7/1990,Meats,Meats Manager,STORES
1532,9109060202500006,3/25/1990,Dairy,Dairy Person,STORES
1533,7401184402500015,3/26/1990,Accounts Receiveable,Accounts Receiveable Clerk,HEADOFFICE
1543,1307135302500002,3/31/1990,Accounts Payable,Accounts Payable Clerk,HEADOFFICE
1553,6305070403500007,4/10/1990,Meats,Meat Cutter,STORES
1566,5311110104500013,4/25/1990,Audit,Auditor,HEADOFFICE
1567,7503044504500008,4/27/1990,Meats,Meat Cutter,STORES
1574,1205141404500004,5/2/1990,Dairy,Dairy Person,STORES
1579,1409134405500001,5/12/1990,Accounting,Accounting Clerk,HEADOFFICE
1585,7171112405500013,5/23/1990,Meats,Meat Cutter,STORES
1603,1506126106500002,6/7/1990,Store Management,Store Manager,STORES
1652,1406091110500001,8/5/1990,Meats,Meat Cutter,STORES
1670,3209132411500014,8/28/1990,Meats,Meat Cutter,STORES
1683,3317031712500002,9/9/1990,Dairy,Dairy Person,STORES
1687,7505016112500013,9/11/1990,Meats,Meats Manager,STORES
1703,6107095301510008,9/23/1990,Meats,Meats Manager,STORES
1706,7412062001510017,9/27/1990,Meats,Meat Cutter,STORES
1719,5104061102510010,10/9/1990,Bakery,Bakery Manager,STORES
1734,1506095303510006,10/25/1990,Customer Service,Customer Service Manager,STORES
1736,1706132303510003,10/30/1990,Store Management,Store Manager,STORES
1739,1808092903510007,11/2/1990,Meats,Meat Cutter,STORES
1757,6472074505510005,11/22/1990,Meats,Meat Cutter,STORES
